onlyoffice-bin 8.3.2-1
openconnect 1:9.12-3
openjdk21-src 21.0.6.u7-1
os-prober 1.83-1
otf-font-awesome 6.7.2-1
otf-font-awesome-4 4.7.0-7
oxker-bin 0.10.0-1
pacman 7.0.0.r6.gc685ae6-2
pacman-contrib 1.11.0-1
pacseek 1.8.5-1
pamixer 1.6-3
patch 2.7.6-10
pavucontrol 1:6.1-1
perl 5.40.1-2
pipes-rs 1.6.3-2
pipewire-alsa 1:1.4.1-1
pipewire-jack 1:1.4.1-1
pipewire-pulse 1:1.4.1-1
pkgconf 2.4.3-1
pkgfile 24-1
plocate 1.1.23-1
pokemon-colorscripts-git r114.5802ff67-1
polkit-gnome 0.105-11
poppler-glib 25.03.0-1
power-profiles-daemon 0.30-1
ppp 2.5.2-1
pptpclient 1.10.0-3
prettyping 1:1.0.1-4
procs 0.14.10-1
prometheus-node-exporter 1.9.1-1
pv 1.9.31-1
python 3.13.2-1
python-boto3 1.36.23-1
python-capng 0.8.5-3
python-openpyxl 3.1.5-2
python-pandas 2.2.3-1
python-pip 25.0.1-1
python-pyqt5 5.15.11-2
python-traceback-with-variables 2.2.0-1
qbittorrent 5.0.4-3
qemu-desktop 9.2.3-1
qt5-doc 5.15.16-3
qt5-graphicaleffects 5.15.16-3
qt5-imageformats 5.15.16+kde+r2-3
qt5-quickcontrols 5.15.16-3
qt5-quickcontrols2 5.15.16+kde+r5-3
qt6ct 0.10-2
qwhitesurgtkdecorations-qt6 0.1.0-1
rebuild-detector 4.4.5-1
reflector 2023-3
reiserfsprogs 3.6.27-5
rkhunter 1.4.6-3
rofi-calc-git r186.8b41d81-1
rofi-emoji 4.0.0-1
rofi-lbonn-wayland-git 1.7.5.wayland3.r50.g2baa809d-1
rofi-nerdy v0.0.6.r0.g7cd38a9-1
rp-pppoe 4.0-5
rsync 3.4.1-2
rtkit 0.13-3
rustup 1.28.1-1
s-nail 14.9.24-2
sddm 0.21.0-6
sddm-theme-aerial-git 0.1.r81.g92b85ec-1
sed 4.9-3
sg3_utils 1.48-1
shellcheck 0.10.0-35
slack-desktop 4.43.43-1
slurp 1.5.0-1
smartmontools 7.4-2
sof-firmware 2025.01.1-1
solid5 5.116.0-1
sonyheadphonesclient-bin 5:1.3.2-1
spacedrive-bin 1:0.4.3-1
speedtest-cli 2.1.3-9
ssh-ggh-bin 0.1.4-1
sshfs 3.7.3-3
sshs 4.6.1-1
stacer-bin 1.3.2-2
starship 1.22.1-1
strace 6.14-1
stress 1.0.7-3
sudo 1.9.16.p2-2
swappy 1.5.1-2
swaylock-effects 1.7.0.0-4.4
swaync 0.10.1-4
swayosd-git 0.2.0.r0.gb3c78fc-1
sweethome3d 7.5-1
swww 0.9.5-2
sysfsutils 2.1.1-2
systemctl-tui 0.4.0-1
systemd-sysvcompat 257.4-1
tailspin 5.0.0-1
tcsh 6.24.15-1
telegram-desktop 5.13.1-1
terraform 1.11.3-1
texinfo 7.2-1
tk 8.6.16-1
tldr 3.3.0-2
tokei 12.1.2-2
topgrade 16.0.2-1
tre-command-bin 0.4.0-1
tree 2.2.1-1
ttf-bitstream-vera 1.10-16
ttf-dejavu 2.37+18+g9b5d1b2f-7
ttf-fira-code 6.2-2
ttf-font-awesome 6.7.2-1
ttf-hack 3.003-7
ttf-hack-nerd 3.3.0-1
ttf-indic-otf 0.2-12
ttf-liberation 2.1.5-2
ttf-ms-fonts 2.0-12
ttf-opensans 3.003-1
ttf-roboto-mono 3.000-3
ttf-ubuntu-font-family 1:0.83-2
ttf-ubuntu-nerd 3.3.0-1
ttyper 1.6.0-1
tumbler 4.20.0-2
udiskie 2.5.7-1
unarchiver 1.10.8-4
unrar 1:7.1.6-1
unzip 6.0-22
upower 1.90.8-1
upscayl-bin 2.15.0-5
urbanlifestyle-sddm-theme 0.4.4-1
usb_modeswitch 2.6.2-1
usbutils 018-1
virt-manager 5.0.0-1
virt-viewer 11.0-3
vlc 3.0.21-16
vpnc 1:0.5.3.r539.r239-1
vulkan-radeon 1:25.0.2-2
vulkan-tools 1.4.309.0-1
waybar-cava 0.12.0-1
waycheck 1.6.0-1
wayclip 0.4.2-1
wget 1.25.0-2
where-is-my-sddm-theme-git 1:r105.9637154-1
which 2.23-1
whitesur-cursor-theme-git r7.5c94e8c-1
whitesur-gtk-theme 2024.11.18-1
whois 5.5.23-1
wireless-regdb 2025.02.20-1
wireless_tools 30.pre9-4
wireplumber 0.5.8-1
wl-clipboard 1:2.2.1-2
wlogout 1.2.2-0.3
wlsunset 0.4.0-1
wpa_supplicant 2:2.11-3
wpaperd 1.1.1-1
xclip 0.13-6
xdg-desktop-portal-gtk 1.15.3-1
xdg-desktop-portal-hyprland-git 1.3.9.r4.g150b0b6f-1.4
xdg-user-dirs 0.18-2
xdg-utils 1.2.1-1
xdman-beta-bin 8.0.29-8
xf86-input-libinput 1.5.0-1
xfsprogs 6.13.0-1
xl2tpd 1.3.18-2
xorg-bdftopcf 1.1.2-1
xorg-iceauth 1.0.10-1
xorg-server 21.1.16-1
xorg-sessreg 1.1.3-2
xorg-smproxy 1.0.7-2
xorg-x11perf 1.7.0-1
xorg-xbacklight 1.2.4-1
xorg-xcmsdb 1.0.7-1
xorg-xcursorgen 1.0.8-2
xorg-xdpyinfo 1.3.4-2
xorg-xdriinfo 1.0.7-2
xorg-xev 1.2.6-1
xorg-xgamma 1.0.7-2
xorg-xhost 1.0.10-1
xorg-xinit 1.4.4-1
xorg-xinput 1.6.4-2
xorg-xkbevd 1.1.6-1
xorg-xkbprint 1.0.7-1
xorg-xkbutils 1.0.6-1
xorg-xkill 1.0.6-2
xorg-xlsatoms 1.1.4-2
xorg-xlsclients 1.1.5-2
xorg-xpr 1.2.0-1
xorg-xrandr 1.5.3-1
xorg-xrefresh 1.1.0-1
xorg-xsetroot 1.1.3-2
xorg-xvinfo 1.1.5-2
xorg-xwd 1.0.9-2
xorg-xwininfo 1.1.6-2
xorg-xwud 1.0.7-1
xsettingsd 1.0.2-2
xterm 397-2
yay 12.4.2-1.1
yazi 25.3.2-1
zed 0.179.5-1
zen-browser-bin 1.10.3b-1
zoxide 0.9.7-1
zsh 5.9-5
zsh-eza-git r113.eab77a3-1
zsh-fast-syntax-highlighting 1.55-2
